2024-09-29 13:56:38 | EVE69931351 | ERROR | Service started successfully.java.lang.IndexOutOfBoundsExceptionException in thread "main" java.lang.ArrayIndexOutOfBoundsException: Index 5 out of bounds for length 5
2024-09-29 13:56:38 | EVE93046372 | INFO | Audit trail recorded.
2024-09-29 13:56:38 | EVE91911070 | CRITICAL | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE63103537 | INFO | Connection established successfully.
2024-09-29 13:56:38 | EVE70959433 | ERROR | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE84994611 | INFO | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE27649070 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE54166319 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE57002088 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE19301737 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE25936711 | DEBUG | Audit trail recorded.
2024-09-29 13:56:38 | EVE76466024 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE96653258 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE78291855 | ERROR | Service started successfully.
2024-09-29 13:56:38 | EVE21319374 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE63798669 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE92329624 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE80823476 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE41943468 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE35573328 | DEBUG | Audit trail recorded.
2024-09-29 13:56:38 | EVE74200519 | WARNING | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE79319753 | WARNING | Audit trail recorded.
2024-09-29 13:56:38 | EVE49613943 | WARNING | Unhandled exception in module.
2024-09-29 13:56:38 | EVE50036326 | ERROR | Data fetched from database.
2024-09-29 13:56:38 | EVE14408387 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE51130104 | CRITICAL | Disk space low warning issued.
2024-09-29 13:56:38 | EVE87075539 | ERROR | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE85402817 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE54089381 | DEBUG | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE56093838 | ERROR | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE70841849 | INFO | Audit trail recorded.
2024-09-29 13:56:38 | EVE33287035 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE07279608 | INFO | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE90805796 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE66716403 | INFO | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE90784329 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE18032500 | ERROR | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE06781509 | CRITICAL | Unhandled exception in module.
2024-09-29 13:56:38 | EVE72525475 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE55796288 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE72645422 | WARNING | Disk space low warning issued.
2024-09-29 13:56:38 | EVE07190335 | DEBUG | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE40231694 | ERROR | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE69064882 | INFO | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE47125174 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE46247640 | WARNING | Audit trail recorded.
2024-09-29 13:56:38 | EVE44349053 | CRITICAL | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE39027431 | WARNING | Disk space low warning issued.
2024-09-29 13:56:38 | EVE24859897 | DEBUG | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE53320170 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE42694542 | ERROR | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE57411884 | CRITICAL | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE31856652 | INFO | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE26271394 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE93715969 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE78395564 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE65701589 | ERROR | Data fetched from database.
2024-09-29 13:56:38 | EVE32225684 | WARNING | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE14304643 | DEBUG | Connection established successfully.
2024-09-29 13:56:38 | EVE42816202 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE13553089 | INFO | Service started successfully.
2024-09-29 13:56:38 | EVE73472360 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE80309677 | ERROR | Connection established successfully.
2024-09-29 13:56:38 | EVE58688756 | ERROR | Data fetched from database.
2024-09-29 13:56:38 | EVE36976600 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE35726156 | CRITICAL | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE19952699 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE45383607 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE17412956 | CRITICAL | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE04758908 | WARNING | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE39101345 | ERROR | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE27187325 | INFO | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE84417282 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE55934312 | DEBUG | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE65590474 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE06104357 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE64986151 | CRITICAL | Service started successfully.
2024-09-29 13:56:38 | EVE43754579 | DEBUG | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE19575182 | INFO | Data fetched from database.
2024-09-29 13:56:38 | EVE19991511 | INFO | Connection established successfully.
2024-09-29 13:56:38 | EVE91254940 | DEBUG | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE19442568 | ERROR | Disk space low warning issued.
2024-09-29 13:56:38 | EVE17909429 | DEBUG | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE58396431 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE27827977 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE85046811 | CRITICAL | Data fetched from database.
2024-09-29 13:56:38 | EVE10259513 | WARNING | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE24209978 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE60661389 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE06437575 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE15339016 | DEBUG | Data fetched from database.
2024-09-29 13:56:38 | EVE84808126 | INFO | Service started successfully.
2024-09-29 13:56:38 | EVE69892114 | INFO | Service started successfully.
2024-09-29 13:56:38 | EVE47689762 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE50532756 | CRITICAL | Disk space low warning issued.
2024-09-29 13:56:38 | EVE41482036 | ERROR | Data fetched from database.
2024-09-29 13:56:38 | EVE48935936 | DEBUG | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE00280826 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE40303713 | CRITICAL | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE33717579 | CRITICAL | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE58107170 | ERROR | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE37969918 | WARNING | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE37754051 | DEBUG | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE03807879 | WARNING | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE91878327 | WARNING | Connection established successfully.
2024-09-29 13:56:38 | EVE94750220 | ERROR | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE11479390 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE34548177 | INFO | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE94056504 | DEBUG | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE82381200 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE40646100 | CRITICAL | Disk space low warning issued.
2024-09-29 13:56:38 | EVE19430365 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE28008348 | DEBUG | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE69097523 | DEBUG | Service started successfully.
2024-09-29 13:56:38 | EVE46167756 | CRITICAL | Disk space low warning issued.
2024-09-29 13:56:38 | EVE49168147 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE85858991 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE38846881 | INFO | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE91744557 | DEBUG | Data fetched from database.
2024-09-29 13:56:38 | EVE56535505 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE11080723 | ERROR | Service started successfully.
2024-09-29 13:56:38 | EVE05834912 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE62855634 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE51567286 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE32769021 | CRITICAL | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE72592781 | CRITICAL | Audit trail recorded.
2024-09-29 13:56:38 | EVE34745631 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE82373891 | DEBUG | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE18103478 | INFO | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE61013057 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE45674001 | CRITICAL | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE22776344 | CRITICAL | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE64600789 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE73430993 | WARNING | Unhandled exception in module.
2024-09-29 13:56:38 | EVE14071046 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE02119608 | CRITICAL | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE51126552 | DEBUG | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE93674325 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE03997917 | INFO | Disk space low warning issued.
2024-09-29 13:56:38 | EVE06383455 | CRITICAL | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE52100498 | ERROR | Unhandled exception in module.
2024-09-29 13:56:38 | EVE66754647 | CRITICAL | Invalid user credentials provided.
2024-09-29 13:56:38 | EVE69479342 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE28638379 | ERROR | An exception occurred while processing the request.
2024-09-29 13:56:38 | EVE23195910 | CRITICAL | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE72969198 | INFO | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE68251239 | CRITICAL | Unhandled exception in module.
2024-09-29 13:56:38 | EVE70392809 | ERROR | Audit trail recorded.
2024-09-29 13:56:38 | EVE14621979 | WARNING | Data fetched from database.
2024-09-29 13:56:38 | EVE74270841 | DEBUG | Unhandled exception in module.
2024-09-29 13:56:38 | EVE65255645 | DEBUG | File not found: /var/log/sample.log.
2024-09-29 13:56:38 | EVE16202221 | WARNING | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE00093162 | ERROR | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE55123860 | WARNING | Timeout occurred while fetching data.
2024-09-29 13:56:38 | EVE32737148 | WARNING | Validation error: Invalid EVE ID format.
2024-09-29 13:56:38 | EVE41492377 | DEBUG | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE88120115 | INFO | Connection established successfully.
2024-09-29 13:56:38 | EVE77882810 | ERROR | Connection established successfully.
2024-09-29 13:56:38 | EVE63851271 | ERROR | Configuration loaded from environment variables.
2024-09-29 13:56:38 | EVE36706649 | ERROR | Service started successfully.
2024-09-29 13:56:38 | EVE37185835 | WARNING | Service started successfully.
2024-09-29 13:56:38 | EVE27368893 | WARNING | An exception occurred while processing the request.
